url,title,authors,year,cited_by,cited_by_url,label,downloaded,,,
https://www.tandfonline.com/doi/abs/10.1080/02643290442000310,The brains concepts The role of the sensory motor system in conceptual knowledge,V Gallese_G Lakoff,2005,3400,"https://scholar.google.com/scholar?cites=4210800085543001363&as_sdt=2005&sciodt=0,5&hl=en",The brain's concepts: The role of the sensory-motor system in conceptual knowledge,1,The brains concepts The role of the sensory motor system in conceptual knowledge V Gallese_G Lakoff,,
https://monoskop.org/images/d/df/Gibson_James_J_The_Sense_Considered_as_Perceptual_Systems_1966.pdf,The senses considered as perceptual systems,JJ Gibson_L Carmichael,1966,15023,"https://scholar.google.com/scholar?cites=14334859214629088286&as_sdt=2005&sciodt=0,5&hl=en",The senses considered as perceptual systems,1,The senses considered as perceptual systems JJ Gibson_L Carmichael,,
https://www.taylorfrancis.com/books/mono/10.4324/9781315740218/ecological-approach-visual-perception-james-gibson,The ecological approach to visual perception,JJ Gibson,2014,48222,"https://scholar.google.com/scholar?cites=2747980271090863868&as_sdt=2005&sciodt=0,5&hl=en",The ecological approach to visual perception: classic edition,1,The ecological approach to visual perception JJ Gibson,,
https://books.google.com/books?hl=en&lr=&id=bxLiDQAAQBAJ&oi=fnd&pg=PR7&ots=LwZkrzTevV&sig=rFsbPvb2asjDF7zCYZh4qWWTJEw,The embodied mind revised edition Cognitive science and human experience,FJ Varela_E Thompson_E Rosch,2017,13422,"https://scholar.google.com/scholar?cites=8814975881772454610&as_sdt=2005&sciodt=0,5&hl=en","The embodied mind, revised edition: Cognitive science and human experience",1,The embodied mind revised edition Cognitive science and human experience FJ Varela_E Thompson_E Rosch,,
https://www.ingentaconnect.com/content/imp/jcs/1996/00000003/00000004/718,Neurophenomenology A methodological remedy for the hard problem,FJ Varela,1996,2447,"https://scholar.google.com/scholar?cites=10968151204285300267&as_sdt=2005&sciodt=0,5&hl=en",Neurophenomenology: A methodological remedy for the hard problem,1,Neurophenomenology A methodological remedy for the hard problem FJ Varela,,
https://psycnet.apa.org/record/2003-02862-000,On becoming aware A pragmatics of experiencing.,NE Depraz_FJ Varela_PE Vermersch,2003,887,"https://scholar.google.com/scholar?cites=15633005858985031885&as_sdt=2005&sciodt=0,5&hl=en",On becoming aware: A pragmatics of experiencing.,1,On becoming aware A pragmatics of experiencing. NE Depraz_FJ Varela_PE Vermersch,,
https://www.ingentaconnect.com/content/imp/jcs/1999/00000006/F0020002/930,Present time consciousness,FJ Varela,1999,269,"https://scholar.google.com/scholar?cites=104903980848174708&as_sdt=2005&sciodt=0,5&hl=en",Present-time consciousness,1,Present time consciousness FJ Varela,I did not find it,
https://www.cambridge.org/core/journals/canadian-journal-of-philosophy-supplementary-volume/article/redrawing-the-map-and-resetting-the-time-phenomenology-and-the-cognitive-sciences1/EC060C5A84E69D4F9AB8F8F7CFE3DB68,Redrawing the Map and Resetting the Time Phenomenology and the Cognitive Sciences,S Gallagher_FJ Varela,2003,200,"https://scholar.google.com/scholar?cites=2178833856123526163&as_sdt=2005&sciodt=0,5&hl=en",Redrawing the Map and Resetting the Time: Phenomenology and the Cognitive Sciences1,1,Redrawing the Map and Resetting the Time Phenomenology and the Cognitive Sciences S Gallagher_FJ Varela,,
http://biologiachile.cl/biological_research/VOL29_1995/N1/FJ_VARELA.pdf,Resonant cell assemblies a new approach to cognitive functions and neuronal synchrony,FJ Varela,1995,462,"https://scholar.google.com/scholar?cites=13297453176152494503&as_sdt=2005&sciodt=0,5&hl=en",Resonant cell assemblies: a new approach to cognitive functions and neuronal synchrony,1,Resonant cell assemblies a new approach to cognitive functions and neuronal synchrony FJ Varela,,
https://www.taylorfrancis.com/books/mono/10.4324/9780203992739/language-thought-child-jean-piaget,Language and Thought of the Child Selected Works vol V,J Piaget,2005,11293,"https://scholar.google.com/scholar?cites=12224115070662084473&as_sdt=2005&sciodt=0,5&hl=en",Language and Thought of the Child: Selected Works vol 5,1,Language and Thought of the Child Selected Works vol V J Piaget,,
,The psychology of the child,J Piaget_B Inhelder,2008,12733,"https://scholar.google.com/scholar?cites=1752843606134085846&as_sdt=2005&sciodt=0,5&hl=en",[CITATION][C],1,The psychology of the child J Piaget_B Inhelder,,
https://www.taylorfrancis.com/books/mono/10.4324/9781351305082/child-conception-physical-causality-jean-piaget,The childs conception of physical causality,J Piaget,2017,2341,"https://scholar.google.com/scholar?cites=13906867256000550868&as_sdt=2005&sciodt=0,5&hl=en",The child's conception of physical causality,1,The childs conception of physical causality J Piaget,,
http://lidecc.cs.uns.edu.ar/~grs/InteligenciaArtificial/Allen%20Newell%20-%20The%20knowledge%20level.pdf,The knowledge level,A Newell,1982,3616,"https://scholar.google.com/scholar?cites=8993201088150376922&as_sdt=2005&sciodt=0,5&hl=en",The knowledge level,1,The knowledge level A Newell,,
https://books.google.com/books?hl=en&lr=&id=iCvpCAAAQBAJ&oi=fnd&pg=PR12&ots=amYf2jwL6V&sig=49cLsphOtTbXhp4yG1dTO9zb8M4,Models of discovery And other topics in the methods of science,HA Simon,2012,1082,"https://scholar.google.com/scholar?cites=9932701864897299105&as_sdt=2005&sciodt=0,5&hl=en",Models of discovery: And other topics in the methods of science,1,Models of discovery And other topics in the methods of science HA Simon,,
https://www.jstor.org/stable/1166112,Vocabulary development A morphological analysis,JM Anglin_GA Miller_PC Wakefield,1993,1736,"https://scholar.google.com/scholar?cites=9196747973933596213&as_sdt=2005&sciodt=0,5&hl=en",Vocabulary development: A morphological analysis,1,Vocabulary development A morphological analysis JM Anglin_GA Miller_PC Wakefield,,
