,,,Really found,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
BF Skinner BF Skinner.pdf'>,<_io.BufferedReader name='downloaded_papers/BF Skinner BF Skinner.pdf'>,,yes,144,151,209,459,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contingencies of reinforcement A theoretical analysis BF Skinner.pdf'>,<_io.BufferedReader name='downloaded_papers/Contingencies of reinforcement A theoretical analysis BF Skinner.pdf'>,,100,99,161,261,262,265,266,267,268,269,278,284,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Language and Thought of the Child Selected Works vol V J Piaget.pdf'>,<_io.BufferedReader name='downloaded_papers/Language and Thought of the Child Selected Works vol V J Piaget.pdf'>,,140,92,139,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Models of discovery And other topics in the methods of science HA Simon.pdf'>,<_io.BufferedReader name='downloaded_papers/Models of discovery And other topics in the methods of science HA Simon.pdf'>,,"355-7, 367, 379, 407, 100",5,99,105,147,186,252,253,291,292,310,350,354,355,356,357,358,366,367,369,373,374,378,379,406,447,454,456,463,,,,,,,,,,,,,,
Neurophenomenology A methodological remedy for the hard problem FJ Varela.pdf'>,<_io.BufferedReader name='downloaded_papers/Neurophenomenology A methodological remedy for the hard problem FJ Varela.pdf'>,,x,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On becoming aware A pragmatics of experiencing. NE Depraz_FJ Varela_PE Vermersch.pdf'>,<_io.BufferedReader name='downloaded_papers/On becoming aware A pragmatics of experiencing. NE Depraz_FJ Varela_PE Vermersch.pdf'>,,x,169,256,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Present time consciousness FJ Varela.pdf'>,<_io.BufferedReader name='downloaded_papers/Present time consciousness FJ Varela.pdf'>,,413,412,422,424,426,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review Lecture The technology of teaching BF Skinner.pdf'>,<_io.BufferedReader name='downloaded_papers/Review Lecture The technology of teaching BF Skinner.pdf'>,,x,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Analysis of Sensations E Mach.pdf'>,<_io.BufferedReader name='downloaded_papers/The Analysis of Sensations E Mach.pdf'>,,x,0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,61,63,64,72,75,121,136,137,140,142,144,168,183,197,200,215,223,240,243,278,288,289,290,294
The childs conception of physical causality J Piaget.pdf'>,<_io.BufferedReader name='downloaded_papers/The childs conception of physical causality J Piaget.pdf'>,,285,284,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ecological approach to visual perception JJ Gibson.pdf'>,<_io.BufferedReader name='downloaded_papers/The ecological approach to visual perception JJ Gibson.pdf'>,,136,135,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The embodied mind revised edition Cognitive science and human experience FJ Varela_E Thompson_E Rosch.pdf'>,<_io.BufferedReader name='downloaded_papers/The embodied mind revised edition Cognitive science and human experience FJ Varela_E Thompson_E Rosch.pdf'>,,x,339,356,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The knowledge level A Newell.pdf'>,<_io.BufferedReader name='downloaded_papers/The knowledge level A Newell.pdf'>,,x,39,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The operational analysis of psychological terms BF Skinner.pdf'>,<_io.BufferedReader name='downloaded_papers/The operational analysis of psychological terms BF Skinner.pdf'>,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
